artist,artist_href,life,num_artworks
Hans von Aachen,/en/hans-von-aachen,1552 - 1615,42
Vilmos Aba-Novak,/en/vilmos-aba-novak,1894 - 1941,21
Reza Abbasi,/en/reza-abbasi,c.1565 - c.1635,17
Giuseppe Abbati,/en/giuseppe-abbati,c.1836 - 1868,23
Vincenzo Abbati,/en/vincenzo-abbati,1803 - c.1874,16
Louise Abbéma,/en/louise-abbema,1853 - 1927,38
Edwin Austin Abbey,/en/edwin-austin-abbey,1852 - 1911,23
Elenore Abbott,/en/elenore-abbott,1875 - c.1935,14
Lemuel Francis Abbott,/en/lemuel-francis-abbott,c.1760 - 1802,40
Karimeh Abbud,/en/karimeh-abbud,1893 - 1955,16
Douglas Abdell,/en/douglas-abdell,born 1947,51
Basuki Abdullah,/en/basuki-abdullah,1915 - 1993,48
Zainul Abedin,/en/zainul-abedin,1914 - 1976,10
Mher Abeghian,/en/mher-abeghian,1909 - 1994,3
Marina Abramović,/en/marina-abramovic,born 1946,17
Petre Abrudan,/en/petre-abrudan,1907 - 1979,9
Absalon,/en/absalon,1964 - 1993,9
John Absolon,/en/john-absolon,1815 - 1895,30
Carla Accardi,/en/carla-accardi,1924 - 2014,19
Vito Acconci,/en/vito-acconci,born 1940,10
Andreas Achenbach,/en/andreas-achenbach,1815 - 1910,137
Oswald Achenbach,/en/oswald-achenbach,1827 - 1905,64
Paul Ackerman,/en/paul-ackerman,1908 - 1981,8
Norman Ackroyd,/en/norman-ackroyd,born 1938,16
Nutzi Acontz,/en/nutzi-acontz,1894 - 1957,14
Albrecht Adam,/en/albrecht-adam,1786 - 1862,69
Valerio Adami,/en/valerio-adami,born 1935,15
Ansel Adams,/en/ansel-adams,1902 - 1984,14
Bas Jan Ader,/en/bas-jan-ader,1942 - c.1975,10
Jankel Adler,/en/jankel-adler,1895 - 1949,15
Etel Adnan,/en/etel-adnan,born 1925,10
Gosta Adrian-Nilsson,/en/gosta-adrian-nilsson,1884 - 1965,58
Jef Aerosol,/en/jef-aerosol,born 1957,10
Pieter Aertsen,/en/pieter-aertsen,1508 - 1575,17
Afewerk Tekle,/en/afewerk-tekle,1932 - 2012,7
Nadir Afonso,/en/nadir-afonso,born 1920,29
Afro,/en/afro,1912 - 1976,33
Yaacov Agam,/en/yaacov-agam,born 1928,37
Eileen Agar,/en/eileen-agar,1899 - 1991,51
Amin Aghaei,/en/amin-aghaei,born 1982,16
Aydin Aghdashloo,/en/aydin-aghdashloo,born 1940,39
Joaquín Agrasot,/en/joaquin-agrasot,1836 - 1919,23
Charuvi Agrawal,/en/charuvi-agrawal,born 1983,5
Gilles Aillaud,/en/gilles-aillaud,1928 - 2005,18
Ivan Aivazovsky,/en/ivan-aivazovsky,1817 - 1900,582
Roberto Aizenberg,/en/roberto-aizenberg,1922 - 1996,30
Njideka Akunyili Crosby,/en/njideka-akunyili-crosby,born 1983,55
Zahrah Al-Ghamdi,/en/zahrah-al-ghamdi,born 1977,14
Abdul Qader Al Raes,/en/abdul-qader-al-raes,born 1951,17
Grace Albee,/en/grace-albee,1890 - 1985,25
Anni Albers,/en/anni-albers,1899 - 1994,28
Josef Albers,/en/josef-albers,1888 - 1976,82
Albert Aublet,/en/albert-aublet,1851 - 1938,12
Leon Battista Alberti,/en/leon-battista-alberti,1404 - 1472,7
Mariotto Albertinelli,/en/mariotto-albertinelli,1474 - 1515,27
Olga Albizu,/en/olga-albizu,1924 - 2005,15
Ivan Albright,/en/ivan-albright,1897 - 1983,78
Lita Albuquerque,/en/lita-albuquerque,born 1946,10
Pierre Alechinsky,/en/pierre-alechinsky,born 1927,220
Fyodor Alekseyev,/en/fyodor-alekseyev,c.1753 - 1824,50
Leonardo Alenza,/en/leonardo-alenza,1807 - 1845,8
Alexander Bazhbeuk-Melikyan,/en/alexander-bazhbeuk-melikyan,1891 - 1966,6
Peter Alexander,/en/peter-alexander,born 1939,35
Else Alfelt,/en/else-alfelt,1910 - 1974,12
Alfredo Andersen,/en/alfredo-andersen,1860 - 1935,27
Hoca Ali Riza,/en/hoca-ali-riza,1858 - 1939,30
Al-Jazari,/en/al-jazari,1136 - 1206,16
Alphonse Allais,/en/alphonse-allais,1854 - 1905,7
Andrey Allakhverdov,/en/andrey-allakhverdov-0,born 1947,25
David Allan,/en/david-allan,1744 - 1796,45
Ludovic Alleaume,/en/ludovic-alleaume,1859 - 1941,76
Christian Wilhelm Allers,/en/christian-wilhelm-allers,1857 - 1915,22
Alessandro Allori,/en/alessandro-allori,1535 - 1607,83
Jose de Almada-Negreiros,/en/jose-de-almada-negreiros,1893 - 1970,33
Carlos Almaraz,/en/carlos-almaraz,1941 - 1989,47
Lara Almarcegui,/en/lara-almarcegui,born 1972,10
Sir Lawrence Alma-Tadema,/en/sir-lawrence-alma-tadema,1836 - 1912,198
Helena Almeida,/en/helena-almeida,born 1934,15
Boushra Yahya Almutawakel,/en/boushra-yahya-almutawakel,born 1969,13
Carlos Alonso,/en/carlos-alonso,born 1929,13
Charles Alston,/en/charles-alston,1907 - 1977,40
Rudolf von Alt,/en/rudolf-von-alt,1812 - 1905,108
Navjot Altaf,/en/navjot-altaf,born 1949,14
Ioannis Altamouras,/en/ioannis-altamouras,1852 - 1878,26
Albrecht Altdorfer,/en/albrecht-altdorfer,c.1480 - 1538,82
Nathan Altman,/en/nathan-altman,1889 - 1970,40
John Altoon,/en/john-altoon,1925 - 1969,8
Carsten Nicolai,/en/carsten-nicolai,born 1965,24
Hans am Ende,/en/hans-am-ende,1864 - 1918,10
Theodor Aman,/en/theodor-aman,1831 - 1891,28
Sidney Amaral,/en/sidney-amaral,1973 - 2017,6
Tarsila do Amaral,/en/tarsila-do-amaral,1886 - 1973,42
Pedro Américo,/en/pedro-americo,1843 - 1905,8
Cuno Amiet,/en/cuno-amiet,1868 - 1961,88
Rodolfo Amoedo,/en/rodolfo-amoedo,1857 - 1941,26
El Anatsui,/en/el-anatsui,born 1944,17
Anna Ancher,/en/anna-ancher,1859 - 1935,18
Ancient Egypt,/en/ancient-egyptian-painting,c.3150 BC - c.640 AD,169
Ancient Greek Painting and Sculpture,/en/ancient-greek-painting,c.700 - c.31 BC,78
Ancient Greek Pottery,/en/ancient-greek-pottery,c.900 - 31 BC,87
Sophie Gengembre Anderson,/en/sophie-gengembre-anderson,1823 - 1903,37
Edna Andrade,/en/edna-andrade,1917 - 2008,17
Carl Andre,/en/carl-andre,born 1935,0
Ion Andreescu,/en/ion-andreescu,1850 - 1882,30
Francisco Serra Andrés,/en/francisco-serra-andres,1924 - 2002,12
Gretchen Andrew,/en/gretchen-andrew,born 1988,16
Benny Andrews,/en/benny-andrews,born 1930,102
Mariojosé Ángeles,/en/mariojose-angeles,born 1965,25
Angelo Zoffoli,/en/angelo-zoffoli,1860 - 1910,18
Octav Angheluta,/en/octav-angheluta,1904 - 1979,20
Charles Angrand,/en/charles-angrand,1854 - 1926,11
Sofonisba Anguissola,/en/sofonisba-anguissola,c.1532 - 1625,22
Rita Angus,/en/rita-angus,1908 - 1970,72
Albrecht Anker,/en/albert-anker,1831 - 1910,111
Jury Annenkov,/en/jury-annenkov,1889 - 1974,48
David Annesley,/en/david-annesley,born 1936,15
Mary Jane Ansell,/en/mary-jane-ansell,born 1972,24
Giovanni Anselmo,/en/giovanni-anselmo,born 1934,11
Thomas Pollock Anshutz,/en/thomas-pollock-anshutz,1851 - 1912,29
Alexandre Antigna,/en/alexandre-antigna,1817 - 1878,64
Stephen Antonakos,/en/stephen-antonakos,1926 - 2013,21
Antonio Paoletti,/en/antonio-paoletti,1834 - 1912,24
Aleksey Antropov,/en/aleksey-antropov,1716 - 1795,30
Richard Anuszkiewicz,/en/richard-anuszkiewicz,born 1930,0
Apelles,/en/apelles,born c.370 BC,8
Karel Appel,/en/karel-appel,1921 - 2006,42
Dominique Appia,/en/dominique-appia,1926 - 2017,26
Billy Apple,/en/billy-apple,born 1935,47
Anne Appleby,/en/anne-appleby,born 1954,34
Hirohiko Araki,/en/hirohiko-araki,born 1960,12
Peter Nicolai Arbo,/en/peter-nicolai-arbo,1831 - 1892,12
Nina Arbore,/en/nina-arbore,1889 - 1942,18
Diane Arbus,/en/diana-arbus,born 1923,17
James Archer,/en/james-archer,1822 - 1904,41
Olexandr Archipenko,/en/olexandr-archipenko,1887 - 1964,46
Giuseppe Arcimboldo,/en/giuseppe-arcimboldo,1527 - 1593,26
Mordecai Ardon,/en/mordecai-ardon,1896 - 1992,22
Antonio Areal,/en/antonio-areal,1934 - 1978,25
Sofia Areal,/en/sofia-areal,born 1960,13
Rodolfo Arico,/en/rodolfo-arico,1930 - 2002,31
Avigdor Arikha,/en/avigdor-arikha,1929 - 2010,110
Howard Arkley,/en/howard-arkley,1951 - 1999,15
Siah Armajani,/en/siah-armajani,born 1939,19
Arman,/en/arman,1928 - 2005,21
John Armleder,/en/john-armleder,born 1948,19
Jack Armstrong,/en/jack-armstrong,born 1957,30
Rolf Amstrong,/en/rolf-amstrong,1889 - 1960,29
Andre-Pierre Arnal,/en/andre-pierre-arnal,born 1939,58
Francois Arnal,/en/francois-arnal,1924 - 2012,36
Jean Arp,/en/jean-arp,1886 - 1966,61
Eduardo Arroyo,/en/eduardo-arroyo,born 1937,18
Constantin Artachino,/en/constantin-artachino,1870 - 1954,55
Arthur Nísio,/en/arthur-nisio,c.1906 - 1974,8
Richard Artschwager,/en/richard-artschwager,1923 - 2013,35
Julian Ashton,/en/julian-ashton,1851 - 1942,37
Carlos Quizpez Asín,/en/carlos-quizpez-asin,1900 - 1983,19
Antonio Asis,/en/antonio-asis,born 1932,20
Mariam Aslamazian,/en/mariam-aslamazian,1907 - 2006,3
Dieter Asmus,/en/dieter-asmus,born 1939,16
Genevieve Asse,/en/genevieve-asse,born 1923,26
Eugène Atget,/en/eugene-atget,1857 - 1927,26
Jean-Michel Atlan,/en/jean-michel-atlan,1913 - 1960,18
Ozdemir Atlan,/en/ozdemir-atlan,born 1931,15
Atsuko Tanaka,/en/atsuko-tanaka,1932 - 2005,18
Christian Attersee,/en/christian-ludwig-attersee,born 1940,35
Bernard Aubertin,/en/bernard-aubertin,born 1934,14
John James Audubon,/en/john-james-audubon,1785 - 1851,186
Frank Auerbach,/en/frank-auerbach,born 1931,44
